                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                  1.105,                0.98288,                 1.4032,                0.76836,                0.74306,                0.78879,                0.54778,                 1.2122,                0.74532,                 1.4822,               0.007921,               0.007921,               0.007921
                     23,                 1.1001,                0.99123,                 1.4058,                0.73807,                0.79586,                0.83301,                0.57284,                 1.1925,                0.71189,                 1.4646,               0.007822,               0.007822,               0.007822
                     24,                 1.0836,                 0.9669,                 1.3934,                0.86822,                0.74153,                0.81716,                0.56075,                 1.1846,                0.71034,                  1.458,               0.007723,               0.007723,               0.007723
                     25,                 1.0864,                0.95457,                 1.3972,                0.88434,                0.70758,                0.83468,                0.58219,                 1.1908,                0.68572,                 1.4628,               0.007624,               0.007624,               0.007624
                     26,                  1.084,                0.95255,                 1.3908,                0.85599,                0.75832,                0.84528,                 0.5853,                 1.1699,                0.68346,                 1.4479,               0.007525,               0.007525,               0.007525
                     27,                 1.0762,                0.93859,                 1.3845,                0.77949,                0.77694,                0.84988,                0.60321,                 1.1632,                0.67045,                 1.4409,               0.007426,               0.007426,               0.007426
                     28,                  1.067,                0.93333,                 1.3835,                0.85178,                0.73015,                0.83453,                0.59449,                 1.1727,                0.66772,                 1.4482,               0.007327,               0.007327,               0.007327
                     29,                 1.0662,                0.92503,                 1.3797,                0.82939,                 0.8156,                 0.8655,                0.63436,                 1.1533,                0.65792,                 1.4238,               0.007228,               0.007228,               0.007228
                     30,                 1.0547,                0.91476,                 1.3688,                0.88296,                 0.8416,                0.89251,                0.62153,                 1.1491,                0.64606,                 1.4253,               0.007129,               0.007129,               0.007129
                     31,                 1.0576,                0.91653,                 1.3733,                0.87684,                0.81292,                0.88822,                0.64281,                 1.1377,                 0.6376,                 1.4171,                0.00703,                0.00703,                0.00703
                     32,                  1.046,                0.89938,                 1.3673,                0.89708,                 0.7973,                0.89034,                0.64435,                 1.1335,                0.64137,                  1.415,               0.006931,               0.006931,               0.006931
                     33,                 1.0417,                  0.889,                 1.3665,                0.83102,                0.82397,                0.88336,                0.63757,                 1.1257,                0.63404,                 1.4051,               0.006832,               0.006832,               0.006832
                     34,                 1.0385,                0.89258,                 1.3623,                0.87663,                0.88462,                0.92063,                0.66484,                  1.125,                0.60776,                 1.3947,               0.006733,               0.006733,               0.006733
                     35,                 1.0314,                0.87432,                 1.3535,                0.89826,                0.85726,                0.90295,                0.66687,                 1.1221,                 0.6104,                 1.3977,               0.006634,               0.006634,               0.006634
                     36,                 1.0391,                0.86787,                 1.3526,                0.88926,                0.82308,                0.90195,                0.64353,                 1.1221,                0.60261,                 1.3954,               0.006535,               0.006535,               0.006535
                     37,                 1.0296,                 0.8508,                 1.3506,                0.91709,                0.81124,                0.90667,                 0.6689,                 1.1056,                 0.5995,                 1.3831,               0.006436,               0.006436,               0.006436
                     38,                 1.0237,                 0.8529,                 1.3433,                0.89269,                0.82958,                0.90596,                0.67025,                 1.1034,                0.59654,                 1.3785,               0.006337,               0.006337,               0.006337
                     39,                 1.0232,                0.84889,                 1.3428,                0.87555,                0.85113,                0.90752,                0.66782,                 1.1017,                0.58454,                 1.3748,               0.006238,               0.006238,               0.006238
                     40,                 1.0201,                0.84498,                  1.339,                0.88098,                0.87123,                0.90749,                0.67809,                 1.0986,                0.58546,                 1.3676,               0.006139,               0.006139,               0.006139
                     41,                 1.0177,                0.84645,                 1.3416,                0.90989,                0.81545,                0.90515,                0.67656,                 1.0938,                 0.5919,                 1.3665,                0.00604,                0.00604,                0.00604
                     42,                 1.0127,                0.83214,                 1.3388,                0.87411,                0.86491,                0.90534,                0.67403,                 1.1027,                0.58578,                 1.3729,               0.005941,               0.005941,               0.005941
                     43,                 1.0071,                0.82567,                 1.3373,                0.92671,                0.84607,                0.91746,                0.67971,                  1.092,                0.57407,                  1.369,               0.005842,               0.005842,               0.005842
                     44,                 1.0052,                0.81533,                 1.3321,                0.90076,                0.86493,                0.91594,                 0.6736,                 1.0901,                0.56843,                 1.3642,               0.005743,               0.005743,               0.005743
