                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0391,                0.86787,                 1.3526,                0.88926,                0.82308,                0.90195,                0.64353,                 1.1221,                0.60261,                 1.3954,               0.006535,               0.006535,               0.006535
                     37,                 1.0296,                 0.8508,                 1.3506,                0.91709,                0.81124,                0.90667,                 0.6689,                 1.1056,                 0.5995,                 1.3831,               0.006436,               0.006436,               0.006436
                     38,                 1.0237,                 0.8529,                 1.3433,                0.89269,                0.82958,                0.90596,                0.67025,                 1.1034,                0.59654,                 1.3785,               0.006337,               0.006337,               0.006337
                     39,                 1.0232,                0.84889,                 1.3428,                0.87555,                0.85113,                0.90752,                0.66782,                 1.1017,                0.58454,                 1.3748,               0.006238,               0.006238,               0.006238
                     40,                 1.0201,                0.84498,                  1.339,                0.88098,                0.87123,                0.90749,                0.67809,                 1.0986,                0.58546,                 1.3676,               0.006139,               0.006139,               0.006139
                     41,                 1.0177,                0.84645,                 1.3416,                0.90989,                0.81545,                0.90515,                0.67656,                 1.0938,                 0.5919,                 1.3665,                0.00604,                0.00604,                0.00604
                     42,                 1.0127,                0.83214,                 1.3388,                0.87411,                0.86491,                0.90534,                0.67403,                 1.1027,                0.58578,                 1.3729,               0.005941,               0.005941,               0.005941
                     43,                 1.0071,                0.82567,                 1.3373,                0.92671,                0.84607,                0.91746,                0.67971,                  1.092,                0.57407,                  1.369,               0.005842,               0.005842,               0.005842
                     44,                 1.0052,                0.81533,                 1.3321,                0.90076,                0.86493,                0.91594,                 0.6736,                 1.0901,                0.56843,                 1.3642,               0.005743,               0.005743,               0.005743
                     45,                 1.0012,                0.81334,                 1.3285,                0.86812,                0.88532,                0.91635,                0.67307,                 1.0883,                0.56734,                 1.3606,               0.005644,               0.005644,               0.005644
                     46,                0.99129,                0.80825,                 1.3199,                0.88647,                0.89194,                0.92322,                0.68567,                 1.0818,                0.56203,                  1.354,               0.005545,               0.005545,               0.005545
                     47,                0.99027,                0.80368,                 1.3158,                0.91063,                0.88449,                0.92465,                0.68781,                 1.0771,                0.56146,                 1.3511,               0.005446,               0.005446,               0.005446
                     48,                0.97853,                0.78821,                 1.3124,                0.91289,                0.89379,                0.92936,                0.69808,                 1.0743,                0.55505,                 1.3464,               0.005347,               0.005347,               0.005347
                     49,                0.97636,                0.77724,                  1.308,                0.91974,                0.87656,                0.92938,                0.69987,                 1.0682,                0.55124,                 1.3409,               0.005248,               0.005248,               0.005248
                     50,                0.97251,                0.77978,                  1.307,                0.89838,                0.90621,                0.93055,                0.70195,                 1.0691,                 0.5485,                 1.3439,               0.005149,               0.005149,               0.005149
                     51,                0.97582,                 0.7774,                 1.3094,                0.93284,                0.88741,                0.93499,                0.70725,                 1.0679,                0.55015,                 1.3451,                0.00505,                0.00505,                0.00505
                     52,                0.96546,                0.76897,                 1.3031,                0.92042,                 0.8915,                0.93876,                0.70951,                 1.0646,                0.54522,                 1.3413,               0.004951,               0.004951,               0.004951
                     53,                0.97281,                0.76987,                 1.3051,                0.92155,                0.88519,                0.94085,                0.71154,                 1.0612,                0.53966,                 1.3392,               0.004852,               0.004852,               0.004852
                     54,                0.97062,                0.76383,                 1.3051,                0.95082,                0.88641,                0.94274,                0.71471,                 1.0609,                0.53633,                 1.3387,               0.004753,               0.004753,               0.004753
                     55,                0.95862,                 0.7645,                 1.2927,                 0.9473,                 0.8906,                0.94283,                0.71309,                 1.0613,                0.53366,                 1.3363,               0.004654,               0.004654,               0.004654
                     56,                0.95933,                0.74944,                 1.2909,                0.93837,                0.88559,                 0.9425,                0.71531,                 1.0586,                0.53096,                 1.3343,               0.004555,               0.004555,               0.004555
                     57,                0.95706,                0.76195,                 1.2934,                0.93937,                0.90439,                0.94235,                0.71414,                 1.0582,                0.52969,                 1.3339,               0.004456,               0.004456,               0.004456
                     58,                0.95666,                0.74704,                 1.2948,                0.93745,                0.90892,                0.94333,                0.71181,                 1.0598,                0.52763,                 1.3365,               0.004357,               0.004357,               0.004357
                     59,                0.94693,                0.72953,                 1.2904,                0.94783,                0.88742,                0.94329,                0.71372,                 1.0579,                0.52764,                 1.3346,               0.004258,               0.004258,               0.004258
                     60,                0.94361,                0.73138,                 1.2835,                0.93973,                0.88878,                0.94394,                0.71617,                 1.0561,                0.52584,                 1.3325,               0.004159,               0.004159,               0.004159
                     61,                0.94868,                0.73974,                 1.2872,                0.93054,                0.90238,                0.94472,                 0.7133,                 1.0534,                0.52338,                  1.331,                0.00406,                0.00406,                0.00406
                     62,                0.93258,                0.72871,                 1.2803,                0.93866,                0.90408,                 0.9441,                0.71394,                 1.0499,                0.52168,                 1.3282,               0.003961,               0.003961,               0.003961
                     63,                0.93444,                0.72325,                 1.2734,                0.93389,                0.90632,                0.94323,                0.71292,                 1.0485,                0.51784,                 1.3266,               0.003862,               0.003862,               0.003862
                     64,                0.92616,                0.71785,                 1.2741,                0.93607,                0.90803,                0.94232,                0.71182,                 1.0471,                0.51628,                 1.3248,               0.003763,               0.003763,               0.003763
                     65,                0.92368,                0.71081,                 1.2693,                0.93374,                  0.908,                0.94342,                0.71326,                 1.0454,                0.51337,                 1.3231,               0.003664,               0.003664,               0.003664
                     66,                0.92636,                0.70795,                 1.2712,                0.94058,                0.89513,                 0.9451,                0.71155,                 1.0446,                0.51227,                 1.3217,               0.003565,               0.003565,               0.003565
                     67,                0.92446,                0.70715,                 1.2726,                0.93921,                0.90461,                0.94577,                0.71434,                 1.0422,                0.51048,                   1.32,               0.003466,               0.003466,               0.003466
                     68,                0.91807,                0.70425,                 1.2709,                0.94168,                0.91043,                0.94654,                0.71399,                 1.0407,                0.50848,                 1.3182,               0.003367,               0.003367,               0.003367
                     69,                0.92494,                0.70153,                 1.2713,                0.93659,                 0.9092,                0.94711,                0.71631,                 1.0392,                0.50764,                  1.316,               0.003268,               0.003268,               0.003268
                     70,                0.91519,                 0.6963,                 1.2663,                0.94429,                0.90352,                0.94755,                0.71873,                  1.037,                0.50677,                 1.3139,               0.003169,               0.003169,               0.003169
                     71,                0.90347,                0.68485,                  1.258,                0.94565,                0.90473,                0.94776,                0.71793,                 1.0368,                0.50661,                 1.3133,                0.00307,                0.00307,                0.00307
                     72,                0.90214,                0.68143,                 1.2534,                0.94534,                0.90313,                0.94722,                0.72026,                 1.0359,                0.50585,                 1.3122,               0.002971,               0.002971,               0.002971
                     73,                0.90247,                 0.6813,                  1.254,                0.94333,                0.90552,                0.94744,                0.71808,                 1.0349,                0.50525,                 1.3115,               0.002872,               0.002872,               0.002872
                     74,                 0.8905,                0.67364,                 1.2494,                0.94552,                0.90336,                0.94803,                0.71865,                  1.034,                0.50423,                 1.3104,               0.002773,               0.002773,               0.002773
                     75,                0.88768,                  0.662,                 1.2479,                0.94533,                0.90191,                0.94813,                0.71769,                 1.0335,                0.50316,                 1.3103,               0.002674,               0.002674,               0.002674
                     76,                 0.8852,                0.66962,                 1.2485,                0.93616,                0.91081,                0.94798,                0.71755,                  1.033,                 0.5027,                 1.3101,               0.002575,               0.002575,               0.002575
                     77,                0.89021,                0.66993,                 1.2476,                0.93657,                0.91173,                 0.9477,                0.71645,                 1.0321,                 0.5023,                 1.3093,               0.002476,               0.002476,               0.002476
                     78,                0.88374,                0.66326,                 1.2428,                 0.9364,                0.91455,                0.94723,                0.71637,                 1.0313,                0.50142,                 1.3086,               0.002377,               0.002377,               0.002377
                     79,                0.88359,                0.66029,                 1.2417,                 0.9382,                 0.9164,                0.94661,                 0.7182,                 1.0299,                0.50124,                 1.3074,               0.002278,               0.002278,               0.002278
                     80,                0.87357,                 0.6455,                 1.2297,                0.93214,                 0.9146,                0.94714,                0.71881,                  1.029,                0.50015,                 1.3064,               0.002179,               0.002179,               0.002179
                     81,                0.87509,                 0.6473,                 1.2368,                0.93477,                0.91535,                0.94705,                0.71872,                 1.0287,                0.49928,                 1.3062,                0.00208,                0.00208,                0.00208
                     82,                0.86943,                0.63817,                 1.2285,                0.93848,                 0.9194,                0.94703,                0.72037,                  1.028,                0.49894,                 1.3054,               0.001981,               0.001981,               0.001981
                     83,                0.86402,                0.64382,                 1.2247,                0.93662,                0.92195,                0.94715,                0.72066,                 1.0272,                0.49862,                 1.3046,               0.001882,               0.001882,               0.001882
                     84,                0.86237,                 0.6371,                 1.2248,                0.93728,                0.92303,                0.94692,                0.71871,                 1.0264,                 0.4977,                 1.3037,               0.001783,               0.001783,               0.001783
                     85,                0.85522,                0.62682,                 1.2227,                0.93569,                0.92149,                0.94665,                0.72055,                 1.0256,                0.49718,                  1.303,               0.001684,               0.001684,               0.001684
                     86,                0.85631,                0.62694,                  1.224,                0.93706,                0.92168,                0.94647,                0.71903,                  1.025,                0.49647,                 1.3023,               0.001585,               0.001585,               0.001585
                     87,                 0.8523,                0.61965,                 1.2218,                0.93731,                0.92148,                0.94666,                0.71922,                 1.0245,                0.49601,                 1.3019,               0.001486,               0.001486,               0.001486
                     88,                0.84754,                0.61861,                 1.2181,                0.93676,                0.92212,                 0.9466,                0.71881,                 1.0239,                0.49536,                 1.3013,               0.001387,               0.001387,               0.001387
                     89,                0.83752,                 0.6138,                 1.2153,                0.93623,                0.92198,                 0.9466,                0.71931,                 1.0235,                0.49479,                 1.3009,               0.001288,               0.001288,               0.001288
                     90,                0.84894,                0.61245,                 1.2178,                0.93685,                 0.9202,                0.94688,                0.72153,                 1.0232,                0.49429,                 1.3006,               0.001189,               0.001189,               0.001189
                     91,                0.79655,                0.41064,                 1.1939,                0.93728,                0.91926,                0.94691,                0.72312,                 1.0227,                0.49359,                 1.3001,                0.00109,                0.00109,                0.00109
                     92,                0.78288,                0.40164,                 1.1861,                0.93753,                0.91823,                0.94664,                0.72222,                 1.0219,                0.49336,                 1.2994,               0.000991,               0.000991,               0.000991
                     93,                0.76632,                 0.3869,                 1.1723,                0.94313,                0.91587,                0.94673,                0.72304,                 1.0214,                0.49251,                  1.299,               0.000892,               0.000892,               0.000892
                     94,                0.75973,                0.38131,                 1.1688,                0.94275,                 0.9166,                0.94686,                 0.7223,                 1.0208,                0.49206,                 1.2985,               0.000793,               0.000793,               0.000793
                     95,                0.75495,                0.38066,                 1.1634,                0.94229,                0.91693,                0.94673,                0.72495,                   1.02,                0.49135,                 1.2979,               0.000694,               0.000694,               0.000694
                     96,                0.74627,                0.37519,                 1.1573,                0.94174,                0.91711,                0.94693,                 0.7287,                 1.0198,                0.49103,                 1.2974,               0.000595,               0.000595,               0.000595
                     97,                0.74294,                0.36885,                 1.1559,                0.94199,                0.91692,                0.94687,                0.72919,                 1.0194,                0.49048,                 1.2973,               0.000496,               0.000496,               0.000496
                     98,                0.73993,                0.36719,                 1.1523,                0.94324,                0.91673,                0.94689,                0.72897,                  1.019,                0.49013,                  1.297,               0.000397,               0.000397,               0.000397
                     99,                0.73304,                0.36509,                 1.1463,                0.94452,                0.90877,                0.94688,                0.72973,                 1.0183,                0.48965,                 1.2967,               0.000298,               0.000298,               0.000298
                    100,                0.72701,                0.36042,                  1.142,                0.94253,                0.90855,                0.94699,                0.72968,                  1.018,                 0.4892,                 1.2965,               0.000199,               0.000199,               0.000199
